batch_size latency_min latency_max
1 65.02403783798218 68.60441660881042
2 46.09731841087341 47.77203369140625
3 35.98133969306946 37.43127799034119
4 30.86100149154663 32.09612321853638
5 27.199540615081787 28.410033226013184
6 23.86278462409973 24.85145902633667
8 21.249695539474487 22.75955891609192
10 19.4356427192688 20.199129819869995
12 18.912039041519165 19.644656896591187
15 17.364524126052856 18.145450592041016
16 17.118971824645996 17.680189847946167
20 15.83287000656128 16.390446424484253
24 15.140488147735596 15.923968315124512
25 15.145153284072876 15.723236322402954
30 11.783173561096191 12.642641067504883
32 11.740435600280762 12.32062816619873
40 10.745206117630005 11.2501380443573
48 10.051976203918457 10.533766508102417
50 10.084729671478271 10.865790367126465
60 9.744763135910034 10.19890308380127
75 9.340696334838867 9.814271688461304
80 9.233831405639648 9.701400518417358
96 8.949254035949707 9.330770254135132
100 8.890260219573975 9.274359226226807
120 8.784361600875854 9.16454005241394
125 8.745875120162964 9.139974355697632
150 8.7623929977417 9.150472402572632
160 8.732115745544434 9.071304321289062
200 8.756222009658813 9.079721450805664
240 8.625116109848022 9.148779153823853
250 8.649876117706299 9.251473426818848
300 8.824773073196411 9.151993036270142
375 8.857763290405273 9.185851335525513
400 8.884239196777344 9.201976776123047
480 8.764510869979858 9.074508905410767
500 8.82333517074585 9.21384048461914
600 8.944634199142456 9.357920169830322
625 9.035426616668701 9.298981666564941
750 9.09453797340393 9.417594909667969
800 9.055670261383057 9.42636251449585
1000 9.219974517822266 9.588130712509155
1200 9.306049585342407 9.80051040649414
1250 9.366053581237793 9.655371189117432
1500 9.476012945175171 9.802498817443848
1875 9.554963111877441 10.14918327331543
2000 9.523332357406616 9.876046895980835
2400 9.558706760406494 9.925952672958374
2500 9.554163694381714 9.947255849838257
3000 9.608205556869507 10.014009475708008
3750 9.616374015808105 9.996459722518921
4000 9.655422449111938 9.993820905685425
5000 9.59560489654541 10.002108812332153
6000 9.639965772628784 10.021655321121216
7500 9.654076337814331 10.02843189239502
10000 9.652946472167969 10.362912654876709
12000 9.634594678878784 10.061361312866211
15000 9.609992980957031 10.043181896209717
20000 9.647721767425537 10.045107126235962 	
30000 9.564550399780273 10.155299186706543
60000 9.562087774276733 10.029785633087158
