session	normal_operation	faulty_client
1	0.841300010681152	0.782899975776672
2	0.868799984455109	0.823400020599365
3	0.883000016212463	0.848900020122528
4	0.895699977874756	0.873300015926361
5	0.900600016117096	0.880200028419495
6	0.896899998188019	0.884599983692169
7	0.898899972438812	0.885699987411499
8	0.911199986934662	0.891600012779236
9	0.908399999141693	0.902999997138977
10	0.916599988937378	0.904799997806549
11	0.917999982833862	0.909300029277802
12	0.915300011634827	0.90530002117157
13	0.918900012969971	0.909799993038178
14	0.921199977397919	0.909099996089935
15	0.921999990940094	0.912800014019012
16	0.923799991607666	0.916400015354157
17	0.92330002784729	0.91619998216629
18	0.924300014972687	0.913699984550476
19	0.922699987888336	0.920700013637543
20	0.924099981784821	0.90829998254776
