session	local_training	different_init	same_init
1	0.805999994277954	0.724200010299683	0.739700019359589
2	0.839399993419647	0.770699977874756	0.817099988460541
3	0.870199978351593	0.793900012969971	0.823499977588654
4	0.873099982738495	0.82260000705719	0.847599983215332
5	0.885299980640411	0.832599997520447	0.858500003814697
6	0.889699995517731	0.829699993133545	0.855700016021729
7	0.88400000333786	0.845899999141693	0.86379998922348
8	0.896499991416931	0.852999985218048	0.871299982070923
9	0.893700003623962	0.84960001707077	0.875800013542175
10	0.901400029659271	0.86269998550415	0.882099986076355
11	0.905399978160858	0.861299991607666	0.882499992847443
12	0.90149998664856	0.871399998664856	0.883899986743927
13	0.904900014400482	0.872099995613098	0.88400000333786
14	0.895799994468689	0.873199999332428	0.883599996566772
15	0.904999971389771	0.882099986076355	0.890200018882751
16	0.910399973392487	0.881200015544891	0.893400013446808
17	0.903199970722199	0.884999990463257	0.889100015163422
18	0.906300008296967	0.881600022315979	0.884400010108948
19	0.908999979496002	0.887700021266937	0.892899990081787
20	0.914200007915497	0.887099981307983	0.898400008678436
21		0.885699987411499	0.897499978542328
22		0.887600004673004	0.896899998188019
23		0.891200006008148	0.896600008010864
24		0.888199985027313	0.897000014781952
25		0.889900028705597	0.897899985313416
26		0.895399987697601	0.903500020503998
27		0.895900011062622	0.904299974441528
28		0.89709997177124	0.901799976825714
29		0.889999985694885	0.900900006294251
30		0.89139997959137	0.903599977493286
31		0.899800002574921	0.90719997882843
32		0.893299996852875	0.907000005245209
33		0.89520001411438	0.905499994754791
34		0.899900019168854	0.895799994468689
35		0.900699973106384	0.906799972057343
36		0.90149998664856	0.906899988651276
37		0.900200009346008	0.908599972724915
38		0.899699985980988	0.909799993038178
39		0.898999989032745	0.906700015068054
40		0.896200001239777	0.909200012683868
