GE	{lr_decay=0.818649}	{lr_decay=0.9093245}	{lr_decay=0.95466225}	{lr_decay=0.977331125}  {no_decay}
1	0.79830002784729	0.826200008392334	0.824500024318695	0.817300021648407	0.825399994850159
2	0.855099976062775	0.860099971294403	0.85290002822876	0.853500008583069	0.857299983501434
3	0.867200016975403	0.871599972248077	0.872500002384186	0.870625019073486	0.867600023746491
4	0.875500023365021	0.87830001115799	0.879599988460541	0.880199998617172	0.882099986076355
5	0.885800004005432	0.885299980640411	0.887899994850159	0.890449985861778	0.884899973869324
6	0.887899994850159	0.889999985694885	0.890100002288818	0.8935666680336	0.893800020217896
7	0.889999985694885	0.894599974155426	0.893299996852875	0.897000014781952	0.895399987697601
8	0.894699990749359	0.896099984645844	0.898599982261658	0.899399995803833	0.896000027656555
9	0.898599982261658	0.8992999792099	0.898400008678436	0.900499999523163	0.901400029659271
10	0.898299992084503	0.901600003242493	0.901899993419647	0.899699985980988	0.902199983596802
11	0.899200022220612	0.904600024223328	0.905799984931946	0.902599990367889	0.904399991035461
12	0.900699973106384	0.900099992752075	0.907899975776672	0.906599998474121	0.906700015068054
13	0.903199970722199	0.906599998474121	0.910000026226044	0.90039998292923	0.906000018119812
14	0.901300013065338	0.907899975776672	0.91049998998642	0.913299977779388	0.908399999141693
15	0.904500007629395	0.911199986934662	0.910099983215332	0.912699997425079	0.912800014019012
16	0.906000018119812	0.910799980163574	0.912299990653992	0.910799980163574	0.910799980163574
17	0.906599998474121	0.913500010967255	0.911400020122528	0.913900017738342	0.912999987602234
18	0.906499981880188	0.91509997844696	0.91540002822876	0.912000000476837	0.913350015878677
19	0.90530002117157	0.913699984550476	0.915899991989136	0.917200028896332	0.916333337624868
20	0.90750002861023	0.914600014686585	0.916400015354157	0.918900012969971	0.914799988269806
21	0.908200025558472	0.915000021457672	0.917200028896332	0.915499985218048	0.916550010442734
22	0.910399973392487	0.917100012302399	0.918799996376038	0.91949999332428	0.915899991989136
23	0.909699976444244	0.915700018405914	0.915600001811981	0.919600009918213	0.913699984550476
24	0.910899996757507	0.911300003528595	0.91949999332428	0.919399976730347	0.916399985551834
25	0.909500002861023	0.916599988937378	0.915700018405914	0.919600009918213	0.916999975840251
26	0.909799993038178	0.919200003147125	0.919799983501434	0.916999995708466	0.919266661008199
27	0.910799980163574	0.916800022125244	0.919049978256226	0.921299993991852	0.918766677379609
28	0.910799980163574	0.918699979782105	0.919866641362508	0.915799975395203	0.917666653792064
29	0.911099970340729	0.920700013637543	0.919399976730347	0.918699979782105	0.916449993848801
30	0.910399973392487	0.919300019741058	0.919199983278911	0.919700026512146	0.916499972343445
31	0.91100001335144	0.918299973011017	0.918799996376038	0.919700026512146	0.917699980735779
32	0.911099970340729	0.919700026512146	0.921299993991852	0.918799996376038	0.919766664505005
33	0.911499977111816	0.92110002040863	0.919099986553192	0.921500027179718	0.919900000095367
34	0.91049998998642	0.92059999704361	0.920099973678589	0.922399997711182	0.9200199842453
35	0.912000000476837	0.920000016689301	0.922999978065491	0.920099973678589	0.917849987745285
36	0.910600006580353	0.920300006866455	0.919700026512146	0.922599971294403	0.91816665728887
37	0.912500023841858	0.919600009918213	0.920199990272522	0.922800004482269	0.919699986775716
38	0.912299990653992	0.920499980449677	0.922599971294403	0.919900000095367	0.91729998588562
39	0.911800026893616	0.921700000762939	0.919099986553192	0.921899974346161	0.917299985885621
40	0.911899983882904	0.922100007534027	0.91949999332428	0.923200011253357	0.917950004339219
41	0.911899983882904	0.921400010585785	0.921800017356873	0.922800004482269	0.917250007390976
42	0.91159999370575	0.921199977397919	0.920300006866455	0.924499988555908	0.917549997568131
43	0.91210001707077	0.92059999704361	0.923799991607666	0.921700000762939	0.918350011110306
44	0.911400020122528	0.922100007534027	0.920700013637543	0.920899987220764	0.918000012636184
45	0.912000000476837	0.921899974346161	0.921599984169006	0.92220002412796	0.918733338514964
46	0.912500023841858	0.921999990940094	0.921199977397919	0.923699975013733	0.919600009918213
47	0.912699997425079	0.921000003814697	0.921899974346161	0.917999982833862	0.917349994182587
48	0.912800014019012	0.922500014305115	0.92059999704361	0.922100007534027	0.917299985885621
49	0.912699997425079	0.922399997711182	0.924499988555908	0.922500014305115	0.917399982611339
50	0.911800026893616	0.921700000762939	0.921500027179718	0.921599984169006	0.914866665999095
51	0.912699997425079	0.922299981117249	0.922399997711182	0.920300006866455	0.915000021457672
52	0.912199974060059	0.922500014305115	0.923900008201599	0.920300006866455	0.915000021457672
53	0.912800014019012	0.920700013637543	0.92220002412796	0.920199990272522	0.915000021457672
54	0.912500023841858	0.921599984169006	0.923500001430512	0.922599971294403	0.915899991989136
55	0.912500023841858	0.923200011253357	0.922999978065491	0.921299993991852	0.91509997844696
56	0.912599980831146	0.921999990940094	0.92330002784729	0.921000003814697	0.917999982833862
57	0.912899971008301	0.922500014305115	0.92220002412796	0.92220002412796	0.921400010585785
58	0.912299990653992	0.922100007534027	0.921000003814697	0.920700013637543	0.916499972343445
59	0.912999987602234	0.92110002040863	0.92330002784729	0.921999990940094	0.917699992656708
60	0.912599980831146	0.92220002412796	0.924300014972687	0.920499980449677	0.920099973678589
61	0.912899971008301	0.921700000762939	0.923399984836578	0.922399997711182	0.919200003147125
62	0.912999987602234	0.921899974346161	0.922999978065491	0.922500014305115	0.918799996376038
