GE	client1	client3	client5	client10
1	0.761799991130829	0.791700005531311	0.791700005531311	0.786099970340729
2	0.779799997806549	0.819199979305267	0.831200003623962	0.821200013160706
3	0.782599985599518	0.845099985599518	0.850899994373321	0.84909999370575
4	0.823499977588654	0.857200026512146	0.863399982452392	0.864199995994568
5	0.849399983882904	0.865499973297119	0.869199991226196	0.870800018310547
6	0.851599991321564	0.87389999628067	0.874000012874603	0.877300024032593
7	0.859300017356873	0.878700017929077	0.878899991512298	0.880500018596649
8	0.859799981117249	0.882099986076355	0.884199976921081	0.884199976921082
9	0.859899997711182	0.886399984359741	0.885999977588653	0.888599991798401
10	0.882000029087067	0.888599991798401	0.888000011444092	0.890999972820282
11	0.875699996948242	0.892099976539612	0.889999985694885	0.893400013446808
12	0.883899986743927	0.890999972820282	0.892700016498566	0.895600020885468
13	0.883599996566772	0.892499983310699	0.894599974155426	0.896499991416931
14	0.874000012874603	0.896799981594086	0.896000027656555	0.899699985980988
15	0.882600009441376	0.89709997177124	0.89630001783371	0.900799989700317
16	0.888000011444092	0.900099992752075	0.89520001411438	0.90310001373291
17	0.888599991798401	0.901600003242493	0.901199996471405	0.902700006961823
18	0.866699993610382	0.902199983596802	0.901199996471405	0.903500020503998
19	0.8817999958992	0.903400003910065	0.901099979877472	0.905499994754791
20	0.893999993801117	0.902400016784668	0.904600024223327	0.904999971389771
21	0.895699977874756	0.903900027275085	0.906199991703033	0.90750002861023
22	0.896600008010864	0.906000018119812	0.906000018119812	0.907999992370606
23	0.892599999904633	0.904900014400482	0.906799972057342	0.908500015735626
24	0.892099976539612	0.908500015735626	0.9064000248909	0.908999979496002
25	0.891600012779236	0.905399978160858	0.907999992370605	0.909500002861023
26	0.895099997520447	0.907800018787384	0.908399999141693	0.911400020122528
27	0.899699985980988	0.908699989318848	0.909099996089935	0.911700010299683
28	0.898999989032745	0.90530002117157	0.914499998092651	0.911199986934662
29	0.900900006294251	0.911700010299683	0.911400020122528	0.912800014019012
30	0.896499991416931	0.91159999370575	0.914499998092651	0.912199974060059
31	0.900900006294251	0.910799980163574	0.912400007247925	0.912899971008301
32	0.895099997520447	0.912699997425079	0.912500023841858	0.91430002450943
33	0.892899990081787	0.913999974727631	0.913800001144409	0.913800001144409
34	0.902999997138977	0.910899996757507	0.912699997425079	0.914799988269806
35	0.906199991703033	0.912899971008301	0.914699971675873	0.916299998760223
36	0.898100018501282	0.914200007915497	0.915799975395202	0.91540002822876
37	0.902499973773956	0.910700023174286	0.914799988269806	0.916899979114533
38	0.908200025558472	0.915700018405914	0.91729998588562	0.916899979114533
39	0.90420001745224	0.91619998216629	0.916400015354156	0.917400002479553
40	0.907299995422363	0.915600001811981	0.914900004863739	0.917699992656708
41	0.907999992370606	0.913999974727631	0.918099999427795	0.917699992656708
42	0.910600006580353	0.916599988937378	0.918699979782104	0.918299973011017
43	0.898400008678436	0.916999995708466	0.915499985218048	0.917699992656708
44	0.90530002117157	0.918500006198883	0.917100012302399	0.91949999332428
45	0.897000014781952	0.917100012302399	0.919399976730347	0.919000029563904
46	0.907000005245209	0.915799975395203	0.9200000166893	0.919399976730347
47	0.90750002861023	0.915199995040894	0.920899987220764	0.919799983501434
48	0.888599991798401	0.91729998588562	0.919700026512146	0.919600009918213
49	0.90750002861023	0.916999995708466	0.919200003147125	0.919200003147125
50	0.900799989700317	0.917999982833862	0.9200000166893	0.919099986553192
51	0.902199983596802	0.917900025844574	0.9200000166893	0.920799970626831
52	0.900099992752075	0.916700005531311	0.920700013637543	0.920199990272522
53	0.91210001707077	0.916800022125244	0.920899987220764	0.920400023460388
54	0.906899988651276	0.92059999704361	0.917500019073486	0.920899987220764
55	0.873799979686737	0.919600009918213	0.920300006866455	0.92059999704361
56	0.905399978160858	0.916299998760223	0.91949999332428	0.920000016689301
57	0.907100021839142	0.918699979782105	0.9200000166893	0.920899987220764
58	0.906499981880188	0.916899979114533	0.919600009918213	0.920300006866455
59	0.909500002861023	0.91509997844696	0.921199977397919	0.920199990272522
60	0.901700019836426	0.919600009918213	0.920700013637543	0.92059999704361
61	0.901700019836426	0.920899987220764	0.919700026512146	0.921199977397919
62	0.911800026893616	0.921800017356873	0.920400023460388	0.921400010585785
63	0.902300000190735	0.917900025844574	0.919700026512146	0.921599984169006
64	0.910399973392487	0.918200016021729	0.921400010585785	0.921800017356873
65	0.906599998474121	0.918500006198883	0.920799970626831	0.919900000095367
66	0.903400003910065	0.918099999427795	0.91949999332428	0.921400010585785
67	0.905200004577637	0.919099986553192	0.922399997711181	0.92110002040863
68	0.911400020122528	0.919600009918213	0.918799996376037	0.922299981117249
69	0.90719997882843	0.92059999704361	0.917999982833862	0.921899974346161
70	0.905399978160858	0.920300006866455	0.918600022792816	0.922699987888336
71	0.906899988651276	0.920199990272522	0.922100007534027	0.923799991607666
72	0.912199974060059	0.917900025844574	0.920599997043609	0.921299993991852
73	0.907100021839142	0.920700013637543	0.920400023460388	0.922399997711182
74	0.905499994754791	0.915700018405914	0.919300019741058	0.921199977397919
75	0.913600027561188	0.92059999704361	0.921299993991852	0.923200011253357
76	0.900600016117096	0.921199977397919	0.921999990940094	0.922100007534027
77	0.911199986934662	0.919900000095367	0.920599997043609	0.923500001430512
78	0.911300003528595	0.919600009918213	0.922399997711181	0.922800004482269
79	0.916100025177002	0.918699979782105	0.921599984169006	0.92220002412796
80	0.915899991989136	0.921000003814697	0.919600009918213	0.922699987888336
81	0.910199999809265	0.920300006866455	0.919799983501434	0.921700000762939
82	0.911400020122528	0.918099999427795	0.920199990272522	0.922500014305115
83	0.913800001144409	0.919000029563904	0.91949999332428	0.922399997711182
84	0.915700018405914	0.920400023460388	0.922100007534027	0.922800004482269
85	0.902400016784668	0.921700000762939	0.921400010585785	0.923099994659424
