session	no_decay	s1_dp1	s1_dp2	s1_dp3	s2_dp1	s2_dp2	s2_dp3	s3_dp1	s3_dp2	s3_dp3
1	0.853999972343445	0.847599983215332	0.859000027179718	0.851300001144409	0.839100003242493	0.865699991583825	0.826200008392334	0.856800019741058	0.859899997711182	0.86379998922348
2	0.873099982738495	0.872399985790253	0.877600014209747	0.870000004768372	0.873300015926361	0.8728333512942	0.877300024032593	0.882000029087067	0.878799974918366	0.878899991512299
3	0.894999980926514	0.884299993515015	0.883000016212463	0.887000024318695	0.88400000333786	0.879400014877319	0.89029997587204	0.888899981975555	0.885800004005432	0.88730001449585
4	0.89630001783371	0.890900015830994	0.894599974155426	0.89410001039505	0.898299992084503	0.892633338769277	0.897499978542328	0.894699990749359	0.896700024604797	0.895399987697601
5	0.900799989700317	0.89740002155304	0.897700011730194	0.902499973773956	0.89709997177124	0.898066659768422	0.899200022220612	0.898699998855591	0.900200009346008	0.898699998855591
6	0.907800018787384	0.901199996471405	0.90200001001358	0.900499999523163	0.904500007629395	0.905766665935516	0.906300008296967	0.901700019836426	0.90200001001358	0.905675008893013
7	0.903400003910065	0.897199988365173	0.902199983596802	0.900900006294251	0.906499981880188	0.908233344554901	0.900300025939941	0.90829998254776	0.905099987983704	0.908133327960968
8	0.903699994087219	0.905399978160858	0.906300008296967	0.908500015735626	0.907299995422363	0.911033352216085	0.908599972724915	0.910000026226044	0.907599985599518	0.91049998998642
9	0.908500015735626	0.907700002193451	0.911499977111816	0.902199983596802	0.911499977111816	0.913433333237966	0.910199999809265	0.909799993038178	0.910600006580353	0.915033320585887
10	0.916700005531311	0.906899988651276	0.910700023174286	0.907599985599518	0.910899996757507	0.911300003528595	0.911400020122528	0.911800026893616	0.913100004196167	0.915700018405914
11	0.91049998998642	0.905099987983704	0.914200007915497	0.914699971675873	0.911400020122528	0.919399976730347	0.914799988269806	0.915499985218048	0.912000000476837	0.912000000476837
12	0.918299973011017	0.906499981880188	0.91729998588562	0.916700005531311	0.910300016403198	0.915300011634827	0.919000029563904	0.914699971675873	0.915300011634827	0.917699992656708
13	0.918699979782105	0.910600006580353	0.914399981498718	0.91540002822876	0.91540002822876	0.914900004863739	0.916400015354157	0.916000008583069	0.918200016021729	0.914099991321564
14	0.91729998588562	0.91100001335144	0.917999982833862	0.916000008583069	0.908800005912781	0.918200016021729	0.918099999427795	0.917800009250641	0.92059999704361	0.917400002479553
15	0.909699976444244	0.910399973392487	0.914799988269806	0.919099986553192	0.916700005531311	0.918600022792816	0.917699992656708	0.915799975395203	0.920000016689301	0.917999982833862
16	0.916899979114533	0.912899971008301	0.919700026512146	0.919200003147125	0.919300019741058	0.915700018405914	0.91949999332428	0.919600009918213	0.920499980449677	0.920199990272522
17	0.915000021457672	0.913299977779388	0.919000029563904	0.919200003147125	0.916899979114533	0.916625007987023	0.912400007247925	0.919099986553192	0.921000003814697	0.916700005531311
18	0.917999982833862	0.912000000476837	0.921199977397919	0.916700005531311	0.917900025844574	0.919000029563904	0.916999995708466	0.91729998588562	0.918099999427795	0.919700026512146
19	0.916700005531311	0.912599980831146	0.921400010585785	0.915600001811981	0.917800009250641	0.91729998588562	0.922100007534027	0.916400015354157	0.913999974727631	0.919300019741058
20	0.920199990272522	0.913399994373322	0.92220002412796	0.916000008583069	0.91949999332428	0.919700026512146	0.918200016021729	0.918500006198883	0.919900000095367	0.921400010585785
